id,name,launched,deadline,goal,pledged,backers,outcome,country,currency,category,sub_category
5116,"A Hundred Hearts, A Hundred Stories. (Canceled)",9/14/14 0:00,10/14/14 0:00,3972.35,0,0,canceled,NZ,NZD,Photography,People
5117,"Hello, Absurd World: A Book of 5 Minute Poems",7/1/10 0:00,8/11/10 0:00,1500,2095,70,successful,US,USD,Publishing,Fiction
5118,Equestrian Culture Magazine: Take us to print!,9/24/13 0:00,10/24/13 0:00,10000,10220,153,successful,US,USD,Publishing,Periodicals
5119,The Santa Series,9/3/16 0:00,10/3/16 0:00,500,0,0,failed,US,USD,Photography,People
5120,Tomorrows Artists Gallery,6/14/16 0:00,7/14/16 0:00,15000,30,1,failed,US,USD,Art,Painting
5121,Dog Pack - Harness & Backpack for Stylish Pups,11/10/15 0:00,12/11/15 0:00,8000,8598,121,successful,US,USD,Fashion,Pet Fashion
5122,the finest machine,4/20/12 0:00,5/10/12 0:00,16384,6838.73,148,failed,US,USD,Publishing,Nonfiction
5123,Hatfield vs McCoy - Card Game Launch,5/14/13 0:00,6/13/13 0:00,25000,551,14,failed,US,USD,Games,Tabletop Games
5124,4D Clothing,1/8/17 0:00,2/7/17 0:00,10000,0,0,failed,US,USD,Fashion,Apparel
5125,"""Losing Grandma"", a short student film by Shantee Gordon",2/12/11 0:00,3/6/11 0:00,5000,740,11,failed,US,USD,Film & Video,Shorts
5126,Frathletics,12/17/16 0:00,1/16/17 0:00,7000,1,1,failed,US,USD,Journalism,Video
5127,By All Means: A Rock 'n Roll Story,7/31/17 0:00,8/30/17 0:00,32364.97,13462.53,56,failed,GB,GBP,Film & Video,Documentary
5128,Evilot,8/8/12 0:00,9/7/12 0:00,10000,11003.66,344,successful,US,USD,Games,Video Games
5129,Rediscover the Golden Toad,1/8/14 0:00,2/7/14 0:00,15000,1427,45,failed,US,USD,Photography,Animals
5130,NO TRANSLATION : A dance where bodies (Mis)Communicate,10/12/13 0:00,11/5/13 0:00,3500,3500,58,successful,US,USD,Dance,Dance
5131,The Glacier Bottle,6/13/17 0:00,7/13/17 0:00,55000,10402,128,canceled,US,USD,Design,Product Design
5132,What Dog Lovers Know About God,12/4/15 0:00,1/3/16 0:00,4000,10,1,failed,US,USD,Publishing,Nonfiction
5133,Help LATE CAMBRIAN record a 6 song EP! (Canceled),2/17/12 0:00,3/30/12 0:00,1000,0,0,canceled,US,USD,Music,Rock
5134,Jade's Diary: Fashion for Change,11/30/16 0:00,12/8/16 0:00,2639.75,0,0,failed,FR,EUR,Fashion,Fashion
5135,Futsolo: The Future Of Independent Soccer Training,8/15/17 0:00,9/16/17 0:00,30000,31600.2,178,successful,US,USD,Technology,Hardware
5136,Horfield Common Stay and Play with APE Project,4/11/17 0:00,5/1/17 0:00,4270.02,744.02,25,failed,GB,GBP,Art,Public Art
5137,Felt Case for iPhone 6 and iPhone 6 Plus by F?Z Designs,9/18/14 0:00,10/18/14 0:00,25000,32813,959,successful,US,USD,Design,Product Design
5138,Fritz: A Robotic Puppet,4/1/13 0:00,5/1/13 0:00,25000,41136.55,236,successful,US,USD,Technology,Technology
5139,"""Amour Sincère"" A Short film about the passion of love and anger.",2/24/10 0:00,3/21/10 0:00,650,1000,17,successful,US,USD,Film & Video,Shorts
5140,Always Remembering A true story of love and war,1/13/15 0:00,2/12/15 0:00,4000,1301,12,failed,US,USD,Publishing,Nonfiction
5141,FlashNex - A Flashlight Tripod Grip,3/16/11 0:00,4/26/11 0:00,20000,210,5,failed,US,USD,Design,Product Design
5142,Don't Walk in Winter Wood,10/1/11 0:00,10/31/11 0:00,500,4060,173,successful,US,USD,Games,Games
5143,Pierre Feuille Ciseaux #5,7/15/15 0:00,8/14/15 0:00,5500,8396,172,successful,US,USD,Food,Events
5144,"Pizza Dice, Adventure Dice, and More?",3/30/17 0:00,4/20/17 0:00,4000,4782,269,successful,US,USD,Games,Tabletop Games
5145,Comic Book Display Frames for Loose Modern Size Comic Books,11/17/14 0:00,12/17/14 0:00,15000,20,1,canceled,US,USD,Comics,Comics
5146,ASTIG  JERKY: A New Meat Experience For Your Taste Buds!,2/16/16 0:00,3/25/16 0:00,10000,1464,28,failed,US,USD,Food,Small Batch
5147,Detective English and the Grammar Stone,9/1/15 0:00,10/16/15 0:00,227.2,39.76,2,failed,ES,EUR,Games,Video Games
5148,(Pulse) - App Idea for IOS & Android,2/7/15 0:00,3/9/15 0:00,3830.54,5.36,1,failed,AU,AUD,Games,Mobile Games
5149,Kbrsh (Canceled),8/25/14 0:00,9/23/14 0:00,1630.84,4990.38,6,canceled,GB,GBP,Technology,Software
5150,Take the Toys from the Boys,4/19/12 0:00,5/19/12 0:00,2600,2887.66,34,successful,US,USD,Art,Art
5151,IKOS: The Building Shape with Endless Configurations,3/17/14 0:00,4/19/14 0:00,21000,26659,250,successful,US,USD,Design,Product Design
5152,The WinePort: A Portable Tasting Room (Canceled),1/6/14 0:00,1/31/14 0:00,5248,1286,24,canceled,US,USD,Design,Product Design
5153,Small helium compressor,4/8/15 0:00,5/8/15 0:00,15034.02,0.79,1,failed,AU,AUD,Technology,Technology
5154,"REDBEARD BREWING COMPANY, LLC",2/2/13 0:00,3/4/13 0:00,25000,6932,74,failed,US,USD,Food,Food
5155,Storm Front: It Started On A Bus,6/15/12 0:00,8/14/12 0:00,14800,1541,9,failed,US,USD,Publishing,Fiction
5156,Speak Easy - speech-to-text software (Canceled),6/2/15 0:00,6/30/15 0:00,7000,0,0,canceled,US,USD,Technology,Software
5157,LABL Magazine - Ethical and Healthy Living Magazine (Vegan!),2/9/13 0:00,3/11/13 0:00,757.29,3.03,1,failed,GB,GBP,Journalism,Journalism
5158,"Love, Life & Game: The Vinyl LP Project",10/17/12 0:00,12/1/12 0:00,7500,230,5,failed,US,USD,Music,Music
5159,Street-cool Accessories Phase 1: Messenger Bags,11/16/11 0:00,12/31/11 0:00,5000,0,0,failed,US,USD,Fashion,Fashion
5160,2300: Dogs of Earth,8/15/15 0:00,10/14/15 0:00,193393.67,0,0,failed,CA,CAD,Publishing,Fiction
5161,First there was #thedress now its #theshirt (Canceled),3/10/15 0:00,4/9/15 0:00,1000,0,0,canceled,US,USD,Fashion,Fashion
5162,Pop Heart Needs Freezers! (Canceled),4/30/15 0:00,5/19/15 0:00,4918.03,397.54,8,canceled,CA,CAD,Food,Small Batch
5163,Buy the Rights: The Movie Pitching Party Game,11/9/15 0:00,12/11/15 0:00,15000,17550,471,successful,US,USD,Games,Tabletop Games
5164,City of Refuge: the Sequel to The Fifth Sacred Thing,8/4/15 0:00,9/1/15 0:00,50000,79090.77,1481,successful,US,USD,Publishing,Fiction
5165,theSummit: Nerdcore Concert and Mixer,6/18/12 0:00,7/9/12 0:00,5000,6225.64,43,successful,US,USD,Music,Music
5166,I America!,4/23/12 0:00,5/22/12 0:00,2000,75,2,failed,US,USD,Film & Video,Narrative Film
5167,Rabbit Food Bike,5/8/16 0:00,6/7/16 0:00,6500,1531,32,failed,US,USD,Food,Vegan
5168,Hammond Organ Documentary,10/18/12 0:00,11/17/12 0:00,10000,11644,145,successful,US,USD,Film & Video,Documentary
5169,Organic Loom,1/28/15 0:00,2/27/15 0:00,20000,1,1,failed,US,USD,Crafts,Weaving
5170,The Wood Life,3/31/16 0:00,4/30/16 0:00,869.53,17.39,1,failed,GB,GBP,Crafts,Woodworking
5171,STAND MATE: Make Standing Better,12/19/16 0:00,1/19/17 0:00,37391.56,7324.26,92,failed,CA,CAD,Design,Product Design
5172,Scriabin: The Russian Prometheus- Concert Tour Proposal,12/28/13 0:00,2/1/14 0:00,15000,15675,77,successful,US,USD,Music,Classical Music
5173,AE modular - a modular synthesizer for everyone,11/15/16 0:00,12/15/16 0:00,19834.02,49453.67,117,successful,DE,EUR,Technology,Sound
5174,I want to make gingerbread cookies.,7/18/14 0:00,8/17/14 0:00,10,20,1,successful,US,USD,Food,Food
5175,STOS Brand Apparel T-Shirts,6/29/12 0:00,7/29/12 0:00,3500,573,19,failed,US,USD,Fashion,Fashion
5176,Machart Glass Glassblowing Art Studio Sculpture Jewelry Vase,4/7/16 0:00,5/23/16 0:00,9000,13475,79,successful,US,USD,Art,Sculpture
5177,Locked (psycho thriller),3/21/12 0:00,5/21/12 0:00,10000,725,20,failed,US,USD,Film & Video,Narrative Film
5178,Synthesizer HANSY1010,12/3/17 0:00,1/2/18 0:00,4818,10390.02,39,live,FR,EUR,Technology,Sound
5179,Unearned Suffering,4/17/12 0:00,6/16/12 0:00,100000,275,2,failed,US,USD,Film & Video,Narrative Film
5180,"New Fwey Mixtape, Album, Videos & Tour (Canceled)",8/21/12 0:00,9/20/12 0:00,40000,0,0,canceled,US,USD,Music,Hip-Hop
5181,WAY UP NORTH: The making of an Arctic film,10/6/14 0:00,11/6/14 0:00,30615.82,3022.22,76,failed,CA,CAD,Film & Video,Documentary
5182,MeAndMineTv,11/11/15 0:00,12/11/15 0:00,5000,0,0,failed,US,USD,Film & Video,Webseries
5183,Files That Last,12/10/12 0:00,1/16/13 0:00,2000,2272,114,successful,US,USD,Publishing,Nonfiction
5184,ECOFIRM - Plant trees for free wherever you want.,12/27/16 0:00,1/26/17 0:00,5340.51,5.34,1,failed,IT,EUR,Technology,Web
5185,Skull Windows,2/10/12 0:00,3/11/12 0:00,3000,0,0,failed,US,USD,Music,Indie Rock
5186,TIMEDOCK Charging Dock for Pebble Time & Steel Smartwatch,3/27/15 0:00,4/27/15 0:00,40000,58042,934,successful,US,USD,Design,Product Design
5187,Stark- An Illustrated Novella,11/24/11 0:00,1/2/12 0:00,1200,1735,39,successful,US,USD,Publishing,Fiction
5188,The Phoenix Cycle,2/17/14 0:00,4/3/14 0:00,2000,291,6,failed,US,USD,Publishing,Fiction
5189,Smart Pj's: wearable tech brings bedtime stories to life,8/31/16 0:00,10/1/16 0:00,10000,268,13,failed,US,USD,Technology,Wearables
5190,'Time Please',11/1/16 0:00,12/1/16 0:00,2019.77,2079.1,69,successful,GB,GBP,Theater,Plays
5191,"""Old Man""",9/17/16 0:00,11/16/16 0:00,50000,0,0,failed,US,USD,Film & Video,Film & Video
5192,Bikini That Stays Put by OT Surf,3/1/12 0:00,4/3/12 0:00,15000,5151,51,failed,US,USD,Fashion,Fashion
5193,Kory Wheeler - Lets Make a Record!,3/16/15 0:00,4/15/15 0:00,10000,11049,148,successful,US,USD,Music,Music
5194,Coat Check Boys,2/22/16 0:00,3/21/16 0:00,1000,350,3,failed,US,USD,Film & Video,Comedy
5195,photopyramids®- Turn your 2D photos into 3D photosculptures,6/4/12 0:00,7/4/12 0:00,14000,585,7,failed,US,USD,Design,Product Design
5196,The Scout Compact Utility Blade™ Titanium Pocket Tool,2/26/16 0:00,3/11/16 0:00,10000,27478,189,successful,US,USD,Design,Product Design
5197,Personal Portable Power Pack (P4) - Battery Jump Starter,10/30/14 0:00,11/30/14 0:00,20000,157,5,failed,US,USD,Technology,Hardware
5198,Fire Performance at Omni Birth!,4/30/15 0:00,5/4/15 0:00,100,260,13,successful,US,USD,Art,Performance Art
5199,Book #1: An Old Woman's Last Prophecy (Canceled),8/24/15 0:00,9/23/15 0:00,500,90,3,canceled,US,USD,Publishing,Young Adult
5200,Romance Night: A Short Film,6/18/13 0:00,7/13/13 0:00,3500,5737,28,successful,US,USD,Film & Video,Shorts
5201,Dick's American Trip,11/27/14 0:00,12/7/14 0:00,330.77,901.35,37,successful,AU,AUD,Comics,Comic Books
5202,Fund Studio Mogura (Canceled),9/27/14 0:00,11/26/14 0:00,5000,0,0,canceled,US,USD,Comics,Comic Books
5203,zazU needs YOU!,3/19/14 0:00,4/18/14 0:00,8404.35,8738.27,136,successful,GB,GBP,Theater,Theater
5204,The Mighty Have Fallen,10/25/16 0:00,11/24/16 0:00,6600,1,1,failed,US,USD,Games,Video Games
5205,A Gifted Virgo Pt. 1- The Physiological Understanding,7/23/15 0:00,8/4/15 0:00,2000,0,0,failed,US,USD,Music,R&B
5206,Make Some Noize,2/11/15 0:00,3/13/15 0:00,295617.47,10.35,2,failed,GB,GBP,Music,Music
5207,Open Mic - The Series,4/2/13 0:00,5/2/13 0:00,2500,800,22,failed,US,USD,Film & Video,Webseries
5208,Alex Garner Magic Vol. 1,11/29/12 0:00,12/29/12 0:00,500,0,0,failed,US,USD,Art,Performance Art
5209,Shakespeare's Birthday Sonnet Slam,4/4/11 0:00,4/23/11 0:00,600,645,23,successful,US,USD,Theater,Theater
5210,Craft Brew Underground,9/6/17 0:00,11/2/17 0:00,4000,910,13,failed,US,USD,Food,Drinks
5211,Vincero - Mechanical Timepieces with Italian Marble,8/4/14 0:00,9/8/14 0:00,40000,132349,323,successful,US,USD,Fashion,Jewelry
5212,GoBread: The Perfect Breakfast,4/4/14 0:00,5/4/14 0:00,10000,11630,206,successful,US,USD,Food,Food
5213,KICKS COLLECTOR = $5 Sneaker Themed Ts + New Designs Monthly,3/20/15 0:00,5/19/15 0:00,12023,0,0,failed,US,USD,Fashion,Apparel
5214,The Good Neighbor,4/30/16 0:00,5/30/16 0:00,2500,4391,50,successful,US,USD,Film & Video,Narrative Film
5215,"Even in the darkest times and places:  ""Hope Remains""",2/20/15 0:00,3/22/15 0:00,5000,300,4,failed,US,USD,Publishing,Young Adult
5216,Rule Britania: A Celebration of Heritage,4/24/13 0:00,5/24/13 0:00,754.94,0,0,failed,GB,GBP,Photography,Photography
5217,Genti di Calabria,2/9/17 0:00,3/11/17 0:00,10736.99,676.43,6,failed,IT,EUR,Photography,People
5218,The Ski Till I Die Project Launch,6/21/11 0:00,7/21/11 0:00,8000,1676,14,failed,US,USD,Fashion,Fashion
5219,Headed South - Phil Haymaker's New Album,5/16/12 0:00,6/15/12 0:00,3500,515,8,failed,US,USD,Music,Music
5220,Kingdoms: Fitness Adventure Game (Canceled),10/20/15 0:00,11/28/15 0:00,2000,384,27,canceled,US,USD,Games,Playing Cards
5221,Let's have a gong show!,6/25/16 0:00,7/25/16 0:00,1200,1200,18,successful,US,USD,Music,Music
5222,Help Support Lime Hollow's Forest Preschool,2/23/15 0:00,3/25/15 0:00,1000,1240,32,successful,US,USD,Art,Mixed Media
5223,SK Dryer III: Universal Portable Sports Gear Dryer,9/19/13 0:00,10/22/13 0:00,90000,1826,18,canceled,US,USD,Technology,Hardware
5224,Slick-Mat,2/2/15 0:00,3/4/15 0:00,500,45,1,failed,US,USD,Games,Playing Cards
5225,Start Up Contemporary Womenswear Label (Canceled),10/23/15 0:00,11/22/15 0:00,14405.07,0,0,canceled,AU,AUD,Fashion,Ready-to-wear
5226,State School/State of School Math Videos,9/6/14 0:00,10/6/14 0:00,8017.06,0,0,failed,GB,GBP,Technology,Camera Equipment
5227,"So Many Cupcakes, So Little Oven Space!",6/10/12 0:00,7/10/12 0:00,6000,20,3,failed,US,USD,Food,Food
5228,More Than Just Strength - Documentary about Jiu-jitsu life.,12/24/14 0:00,2/11/15 0:00,500,640,17,successful,US,USD,Film & Video,Documentary
5229,Old World League - Issue #1,8/23/16 0:00,9/22/16 0:00,1500,2281,41,successful,US,USD,Comics,Comic Books
5230,"Rack and Ruin, Out of Orbit 3",5/18/15 0:00,6/17/15 0:00,3959.58,2082.74,29,failed,GB,GBP,Publishing,Fiction
5231,Interfaith Prayer Shawl,3/3/15 0:00,4/2/15 0:00,20000,0,0,failed,US,USD,Fashion,Fashion
5232,The Darktide Saga: Darktide,9/28/13 0:00,10/28/13 0:00,5000,215,5,failed,US,USD,Publishing,Fiction
5233,Seaside Towns Out of Season,1/21/17 0:00,2/22/17 0:00,1004.37,1507.81,53,successful,GB,GBP,Photography,Fine Art
5234,The Gun Show Mambo -- MA Thesis Project (Canceled),3/12/13 0:00,4/11/13 0:00,2000,925,10,canceled,US,USD,Theater,Theater
5235,Norse Creation,3/29/17 0:00,4/28/17 0:00,2000,65,4,canceled,US,USD,Publishing,Art Books
5236,Anthromancer,8/21/17 0:00,9/20/17 0:00,50000,18436,214,failed,US,USD,Games,Tabletop Games
5237,Madonnalogues Webseries by Nadya Ginsburg,2/20/13 0:00,3/22/13 0:00,7000,9125.5,167,successful,US,USD,Film & Video,Webseries
5238,Spray Paint Art Start Up,3/24/15 0:00,4/8/15 0:00,291.83,7.3,1,failed,GB,GBP,Art,Painting
5239,Falling Fearlessly - Road To The Start Of Our Lifes,11/21/12 0:00,1/20/13 0:00,1581.98,175.6,6,failed,GB,GBP,Music,Rock
5240,HELP FUND SKY BAND's DEBUT EP!,8/27/12 0:00,10/7/12 0:00,3000,3242,46,successful,US,USD,Music,Music
5241,The Leaf Game - A Photography Book and Archival Prints,12/15/13 0:00,1/20/14 0:00,30000,4293,38,failed,US,USD,Photography,Photography
5242,Wrought Silver Jewelry by Ayleth's Smithworks,9/21/15 0:00,10/18/15 0:00,500,6879.5,119,successful,US,USD,Fashion,Jewelry
5243,Scout's Honour,10/17/14 0:00,11/16/14 0:00,11980.48,148.12,3,failed,AU,AUD,Publishing,Publishing
5244,Become a part of ACTS 1st album!,7/27/11 0:00,9/13/11 0:00,5000,5575,106,successful,US,USD,Music,Music
5245,Panta Rei – Customizable and Combinable Leather Goods,12/4/15 0:00,1/3/16 0:00,6516.57,5213.25,28,failed,ES,EUR,Fashion,Accessories
5246,Fly-Tot,6/4/14 0:00,7/4/14 0:00,50000,5755,106,failed,US,USD,Technology,Hardware
5247,Help 3PM travel with Warped Tour!,5/1/15 0:00,5/31/15 0:00,1500,2528,0,undefined,"N,0""",USD,Music,Music
5248,Star Nation: a look at the players behind StarCraft II,5/31/11 0:00,7/15/11 0:00,9750,23961.35,642,successful,US,USD,Film & Video,Documentary
5249,Worker Placement - The Temp Agency Strategy Board Game,11/5/13 0:00,12/7/13 0:00,16893.48,2225.25,32,canceled,CA,CAD,Games,Tabletop Games
5250,Northeastern PA Bouldering Guidebook,2/6/15 0:00,3/31/15 0:00,7400,2521,82,failed,US,USD,Publishing,Publishing
5251,Hallyu Wave (Canceled),8/14/14 0:00,9/13/14 0:00,10000,55,3,canceled,US,USD,Music,World Music
5252,Codename: Velocity (Canceled),6/16/15 0:00,7/16/15 0:00,3000,10,1,canceled,US,USD,Publishing,Fiction
5253,BETRAYAL !,3/28/12 0:00,4/9/12 0:00,400,455,15,successful,US,USD,Film & Video,Shorts
5254,ModelHealth Deli improvments and Spa integration,12/14/16 0:00,1/13/17 0:00,36531.9,42202.87,89,successful,GB,GBP,Food,Food
5255,The World's Worst Dungeon Crawl!,4/23/13 0:00,5/19/13 0:00,16000,26671,500,successful,US,USD,Games,Tabletop Games
5256,Tiny Television - New Full Length Album!,6/1/12 0:00,7/1/12 0:00,5000,7175,108,successful,US,USD,Music,Country & Folk
